date,game_id,season,home,away,p_home,p_elo,model,result
2024-10-19,2024020079,2024,TOR,NYR,0.5599035188630718,0.5101214390055719,v1-backfill,0.0
2024-10-19,2024020080,2024,NJD,WSH,0.5828458966978973,0.5650740649954589,v1-backfill,0.0
2024-10-19,2024020081,2024,NYI,MTL,0.6959414848647156,0.6078933108776515,v1-backfill,1.0
2024-10-19,2024020082,2024,PHI,VAN,0.5412219289741509,0.4814872918104411,v1-backfill,0.0
2024-10-19,2024020083,2024,CBJ,MIN,0.4400438421653753,0.4734167255331815,v1-backfill,0.0
2024-10-19,2024020084,2024,STL,CAR,0.4280354778553769,0.475892091644759,v1-backfill,1.0
2024-10-19,2024020085,2024,CHI,BUF,0.3852516938571807,0.472775095257969,v1-backfill,0.0
2024-10-19,2024020086,2024,UTA,BOS,0.4609854199065001,0.4578171070543586,v1-backfill,1.0
2024-10-19,2024020087,2024,SEA,CGY,0.565862383922796,0.5247100301288019,v1-backfill,1.0
2024-10-20,2024020088,2024,WPG,PIT,0.5415452310495403,0.6112217755380678,v1-backfill,1.0
2024-10-20,2024020089,2024,SJS,COL,0.2101552789050765,0.3705753592204507,v1-backfill,0.0
2024-10-20,2024020090,2024,ANA,LAK,0.3826062409994433,0.4512092748697165,v1-backfill,0.0
2024-10-21,2024020091,2024,TOR,TBL,0.637358588454301,0.5547603195624851,v1-backfill,1.0
2024-10-22,2024020092,2024,PHI,WSH,0.6135575868083974,0.5103747047720736,v1-backfill,0.0
2024-10-22,2024020093,2024,FLA,MIN,0.6148647937895388,0.6271611771512079,v1-backfill,0.0
2024-10-22,2024020094,2024,NJD,TBL,0.5683404981488619,0.5211136864695161,v1-backfill,0.0
2024-10-22,2024020095,2024,BUF,DAL,0.4229462046555605,0.4518736717235685,v1-backfill,1.0
2024-10-22,2024020096,2024,MTL,NYR,0.3090748676088101,0.3887825950755358,v1-backfill,0.0
2024-10-22,2024020097,2024,CBJ,TOR,0.4811904828749407,0.4281531133734132,v1-backfill,1.0
