date,game_id,week,season,home,away,p_home,p_elo,model,result,final_margin,sp_margin,sp_line,p_sp_elo,sp_ver,p_sp_m75,p_sp_m35,p_sp_m05,p_sp_p35,p_sp_p75,cal,pick_team,pick_side,pick_line,pick_p,pick_push,home_line,away_line,pick_p_win,pick_p_cover,mode_margin,mode_p,median_team,median_line,pick_rule,pick,pick_claim,pick_prob,pick_result,pick_held,k_-20.5,k_-13.5,k_-9.5,k_-6.5,k_-5.5,k_-2.5,k_+3.5,k_+6.5,k_+7.5,k_+10.5,k_+14.5,k_+21.5,mkt_line,mkt_books,mkt_books_total,mkt_agree,model_total,ref_total,ref_home_ml,ref_away_ml
2024-09-15,2024_02_NO_DAL,2,2024,DAL,NO,0.566945445555056,0.6343767006327281,v1-backfill,-25.0,-25.0,2.8029257226984554,2.5,0.4892757966349362,3,0.8289047648727392,0.7060923780831861,0.566945445555056,0.4372680841617087,0.3039211566329141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-15,2024_02_NYG_WAS,2,2024,WAS,NYG,0.5064923283771617,0.552567456758208,v1-backfill,3.0,3.0,-0.0494247491092574,0.5,0.4020089274335847,3,0.7612198208754103,0.635468396935176,0.5064923283771617,0.3684879288382327,0.2363628092918615,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-15,2024_02_NYJ_TEN,2,2024,TEN,NYJ,0.5247444600485136,0.602866826266667,v1-backfill,-7.0,-7.0,1.6001818771337757,1.5,0.4543577665435007,3,0.8112653925918354,0.6767626036665506,0.5247444600485136,0.3954799144450792,0.2663218599375598,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-15,2024_02_PIT_DEN,2,2024,DEN,PIT,0.3630758756558063,0.4854330862808176,v1-backfill,-7.0,-7.0,-3.643033258940525,-3.5,0.3397601986506287,3,0.6739043301820624,0.5182013632197726,0.3630758756558063,0.2541209800576017,0.1544618848517104,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-15,2024_02_SEA_NE,2,2024,NE,SEA,0.361586497347509,0.520391138597079,v1-backfill,-3.0,-3.0,-3.4482503577854167,-3.5,0.3628129324089887,3,0.6845781895554353,0.524265976888551,0.361586497347509,0.2520954868213452,0.1523993806990667,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-15,2024_02_SF_MIN,2,2024,MIN,SF,0.2658434436469342,0.4849833184524099,v1-backfill,6.0,6.0,-6.621805092693549,-5.5,0.3208534659069582,3,0.5912153875467998,0.4245970090314307,0.2658434436469342,0.1758757199215501,0.0987614554311521,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-15,2024_02_TB_DET,2,2024,DET,TB,0.5368139391348862,0.5905744849702963,v1-backfill,-4.0,-4.0,1.896906678666177,1.5,0.4498725790437249,3,0.8110176881461219,0.681409577459784,0.5368139391348862,0.4089202588516483,0.2794343595149512,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-16,2024_02_ATL_PHI,2,2024,PHI,ATL,0.7017615924599979,0.6934656127814672,v1-backfill,-1.0,-1.0,6.247929957798279,5.5,0.5475767409331161,3,0.895299494490088,0.8072561391280384,0.7017615924599979,0.5541274414025981,0.3976788007259074,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-19,2024_03_NE_NYJ,3,2024,NYJ,NE,0.5182750973152161,0.5692865375219366,v1-backfill,21.0,21.0,1.0569726558802373,1.5,0.4239899289632174,3,0.795115845627929,0.6628723340185061,0.5182750973152161,0.3859979240868938,0.255732275463478,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2024-09-22,2024_03_BAL_DAL,3,2024,DAL,BAL,0.4911422795114193,0.5912304542496866,v1-backfill,-3.0,-3.0,0.0709703156907766,-0.5,0.4327123333537045,3,0.7712566175338442,0.6355506606444745,0.4911422795114193,0.3594593618249093,0.2324830894896779,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
