date,fight_id,event,A,B,p_win_a,p_elo,p_distance,p_a_ko,p_a_sub,p_a_dec,p_b_ko,p_b_sub,p_b_dec,model,result,went_dist,close,meth_pick,meth_p,meth_base,meth_hit
2026-04-11,bf135,UFC 327,Loopy Godinez,Tatiana Suarez,0.3999526931070265,0.3858901741609252,0.6308435631189699,0.0804231440510553,0.0428359310862812,0.2766936179696898,0.1068810929731361,0.1390162687705572,0.3541499451492801,v1-backfill,0.0,False,,,,,
2026-04-11,bf136,UFC 327,Kelvin Gastelum,Vicente Luque,0.3831803080204811,0.4135039871737929,0.4929664950543863,0.1048904280227047,0.0393578085315045,0.2389320714662717,0.1399845638794816,0.2228007045119226,0.2540344235881146,v1-backfill,0.0,False,,,,,
2026-04-11,bf137,UFC 327,Charles Radtke,Francisco Prado,0.6487520589109077,0.5815274897546401,0.4299597923750387,0.2188496325664121,0.1332317101357547,0.2966707162087408,0.1794727076854388,0.0384861572373556,0.1332890761662978,v1-backfill,1.0,True,,,,,
2026-04-18,bf138,UFC Fight Night: Burns vs. Malott,Gilbert Burns,Mike Malott,0.4411637799504658,0.5123450520926687,0.3278900344616738,0.1849109635016728,0.0848713748893488,0.1713814415594441,0.3104074870149019,0.0919201401324025,0.1565085929022297,v1-backfill,0.0,False,,,,,
2026-04-18,bf139,UFC Fight Night: Burns vs. Malott,Charles Jourdain,Kyler Phillips,0.4775207759777141,0.4939362692960803,0.5458850256446668,0.0892024744393899,0.1516701978658486,0.2366481036724755,0.1228916526497861,0.0903506494003084,0.3092369219721913,v1-backfill,1.0,True,,,,,
2026-04-18,bf140,UFC Fight Night: Burns vs. Malott,Jai Herbert,Mandel Nallo,0.419506401489065,0.469236994063194,0.4626754455762149,0.1115251566048985,0.0553578260911129,0.2526234187930534,0.3087020944494332,0.0617394772783402,0.2100520267831615,v1-backfill,1.0,False,,,,,
2026-04-18,bf141,UFC Fight Night: Burns vs. Malott,Jasmine Jasudavicius,Karine Silva,0.4885444657914902,0.538581657546159,0.5912150315781206,0.0692771122812733,0.1038557062428253,0.3154116472673915,0.1089369971198948,0.1267151527778859,0.275803384310729,v1-backfill,1.0,True,,,,,
2026-04-18,bf142,UFC Fight Night: Burns vs. Malott,Gauge Young,Thiago Moises,0.5181455750464717,0.4668581516679796,0.5577353083750939,0.1702146917566498,0.0775368194327739,0.2703940638570479,0.0914405816478429,0.1030725987876393,0.287341244518046,v1-backfill,1.0,True,,,,,
2026-04-18,bf143,UFC Fight Night: Burns vs. Malott,Dennis Buzukja,Marcio Barbosa,0.4915891362724263,0.458104778185695,0.4547524995445846,0.1891999512506373,0.0726706629507782,0.2297185220710108,0.1850301396888472,0.0983467465651526,0.2250339774735738,v1-backfill,0.0,False,,,,,
2026-04-18,bf144,UFC Fight Night: Burns vs. Malott,Julien Leblanc,Robert Valentin,0.5874253799511725,0.5742623655058876,0.4450392550486645,0.2382351734063394,0.1038529373510474,0.2453372691937856,0.1207491660915483,0.0921234681024003,0.1997019858548788,v1-backfill,0.0,False,,,,,
2026-04-18,bf145,UFC Fight Night: Burns vs. Malott,Gokhan Sar Cam,Tanner Boser,0.5000770657534994,0.4923806551365389,0.39983998339305,0.2494949825528543,0.0820463042645548,0.1685357789360902,0.2239764969069168,0.044642232882624,0.2313042044569598,v1-backfill,1.0,False,,,,,
2026-04-18,bf146,UFC Fight Night: Burns vs. Malott,Darya Zheleznyakova,Melissa Croden,0.4624588190590537,0.5149327542437688,0.5346291030640647,0.106716377257499,0.0733262590106343,0.2824161827909203,0.2052546172012979,0.0800736434665037,0.2522129202731444,v1-backfill,0.0,True,,,,,
