date,game_id,home,away,p_home,p_home_elo,model,result
20260626,401857024,CON,WSH,0.3408426683255181,0.4601534333519251,v1.1-backfill,1.0
20260626,401857025,CHI,POR,0.7821360840329602,0.5620823772008777,v1.1-backfill,1.0
20260626,401857026,GS,ATL,0.400309149985403,0.5135975544121578,v1.1-backfill,1.0
20260627,401857027,TOR,PHX,0.6028063846895098,0.5249986621756502,v1.1-backfill,0.0
20260627,401857028,IND,LA,0.6707867588682085,0.6273825559972219,v1.1-backfill,1.0
20260627,401857029,SEA,ATL,0.2991607903973432,0.3853317846088337,v1.1-backfill,1.0
20260628,401857030,DAL,MIN,0.4190256943279686,0.4141906038103743,v1.1-backfill,0.0
20260628,401857031,WSH,POR,0.7574388257249604,0.6667882643888775,v1.1-backfill,1.0
20260628,401857032,CHI,LV,0.2732303194181291,0.3080284639575191,v1.1-backfill,0.0
20260628,401857033,GS,NY,0.4593450041854509,0.5645432833275877,v1.1-backfill,1.0
20260702,401857034,WSH,ATL,0.2570515913291586,0.4723661566443161,v1.1-backfill,1.0
20260702,401857035,CON,DAL,0.3227892269919184,0.4689057499892577,v1.1-backfill,0.0
20260702,401857036,PHX,SEA,0.5798991992912964,0.6565622938910345,v1.1-backfill,1.0
20260703,401857037,NY,MIN,0.4704959026107723,0.4751184063203729,v1.1-backfill,1.0
20260703,401857038,LV,CHI,0.704735041009576,0.8259036294302856,v1.1-backfill,1.0
20260704,401857039,ATL,GS,0.6460350032982686,0.5990375016567456,v1.1-backfill,0.0
20260704,401857040,SEA,POR,0.7871018207653089,0.6178278763073082,v1.1-backfill,0.0
20260705,401857041,TOR,DAL,0.2912162285251072,0.4965340826227333,v1.1-backfill,0.0
20260705,401857042,LV,IND,0.6613549379443915,0.7067625556464635,v1.1-backfill,0.0
20260706,401857043,WSH,GS,0.286502723658926,0.4968602326314747,v1.1-backfill,0.0
20260706,401857044,MIN,CON,0.8414782755118256,0.8289934476558316,v1.1-backfill,0.0
20260706,401857045,LA,SEA,0.5728354369788003,0.6689620318071838,v1.1-backfill,0.0
20260707,401857046,NY,DAL,0.5856398870743007,0.6520737502665414,v1.1-backfill,0.0
20260707,401857047,PHX,CHI,0.5914547127195121,0.7057942889661601,v1.1-backfill,0.0
20260708,401857048,TOR,GS,0.2948213210139166,0.3928975339466151,v1.1-backfill,0.0
20260708,401857049,CON,MIN,0.2260847500312988,0.3240922043057218,v1.1-backfill,0.0
20260708,401857050,LA,IND,0.4062599935469197,0.4936062793732545,v1.1-backfill,1.0
20260709,401857051,ATL,SEA,0.7503476785103295,0.7246566791394634,v1.1-backfill,1.0
20260709,401857052,PHX,IND,0.422375322143565,0.5205776578010135,v1.1-backfill,0.0
20260709,401857053,POR,LV,0.1243100812501821,0.3213998999259791,v1.1-backfill,0.0
20260710,401857054,CON,GS,0.2948001655709125,0.3598190086912322,v1.1-backfill,0.0
20260710,401857055,TOR,DAL,0.2394019214825148,0.4497763774551622,v1.1-backfill,0.0
20260710,401857056,LA,CHI,0.5123845058837685,0.6748887060834118,v1.1-backfill,1.0
20260711,401857057,MIN,NY,0.6163621180766957,0.6697937800773636,v1.1-backfill,1.0
20260711,401857058,LV,PHX,0.7715369289564915,0.7570809301574457,v1.1-backfill,1.0
20260711,401857059,ATL,POR,0.8483714300999835,0.7512701508202391,v1.1-backfill,0.0
20260712,401857060,TOR,NY,0.2568618131678564,0.4072730407978853,v1.1-backfill,1.0
20260712,401857061,WSH,SEA,0.5190298811934975,0.6555686040411022,v1.1-backfill,1.0
20260712,401857062,DAL,CHI,0.738866492784697,0.7256774249040768,v1.1-backfill,1.0
20260712,401857063,LV,IND,0.7254867263165712,0.6900153204931736,v1.1-backfill,0.0
20260713,401857064,ATL,LA,0.7229129496623117,0.6484837969037686,v1.1-backfill,1.0
20260713,401857065,MIN,PHX,0.8278900980703184,0.7552936777791536,v1.1-backfill,1.0
20260714,401857066,CON,POR,0.5952897241196633,0.5479504866941558,v1.1-backfill,1.0
20260714,401857067,TOR,WSH,0.5169316456955422,0.4898961337980512,v1.1-backfill,0.0
20260715,401857068,CHI,SEA,0.5147619207507118,0.5606470404639309,v1.1-backfill,1.0
20260715,401857069,MIN,LA,0.7612806677193854,0.7495755284474364,v1.1-backfill,1.0
20260715,401857070,IND,GS,0.6671343857655222,0.5558731892843012,v1.1-backfill,0.0
20260716,401857071,WSH,POR,0.6978840508264363,0.6856567906786132,v1.1-backfill,0.0
20260717,401857073,IND,SEA,0.7151898802657615,0.7431568442526729,v1.1-backfill,1.0
20260717,401857074,TOR,ATL,0.2675585596259879,0.4032861343207248,v1.1-backfill,0.0
20260717,401857075,CHI,LA,0.4839715804150543,0.4927875574629776,v1.1-backfill,1.0
20260717,401857076,PHX,CON,0.6621076494843161,0.6689022173838295,v1.1-backfill,0.0
20260718,401857077,IND,NY,0.6644757759787795,0.6126155913231488,v1.1-backfill,1.0
20260718,401857078,MIN,POR,0.8838170795160588,0.8053620026049563,v1.1-backfill,1.0
20260718,401857079,GS,WSH,0.7978673818007258,0.7112971439231751,v1.1-backfill,1.0
