date,game_id,season,home,away,p_home,p_home_binary,p_elo,model,result
2024-10-18,2024020074,2024,COL,ANA,0.7104687762989631,0.7426030261838676,0.66498235420224,v2-decomp-backfill,1.0
2024-10-19,2024020075,2024,OTT,TBL,0.4844363393448215,0.4820081097753751,0.4848150584581316,v2-decomp-backfill,1.0
2024-10-19,2024020076,2024,NSH,DET,0.6568237308807612,0.6609362826539165,0.5739679230136628,v2-decomp-backfill,0.0
2024-10-19,2024020077,2024,DAL,EDM,0.5310410964977124,0.5217683343085519,0.5678725569193428,v2-decomp-backfill,1.0
2024-10-19,2024020078,2024,FLA,VGK,0.6204237274518051,0.638900177847538,0.6000639254503636,v2-decomp-backfill,1.0
2024-10-19,2024020079,2024,TOR,NYR,0.5623141529500273,0.5599035188630718,0.5101214390055719,v2-decomp-backfill,0.0
2024-10-19,2024020080,2024,NJD,WSH,0.5508232257080529,0.5828458966978973,0.5650740649954589,v2-decomp-backfill,0.0
2024-10-19,2024020081,2024,NYI,MTL,0.6922781915546727,0.6959414848647156,0.6078933108776515,v2-decomp-backfill,1.0
2024-10-19,2024020082,2024,PHI,VAN,0.5345139155292892,0.5412219289741509,0.4814872918104411,v2-decomp-backfill,0.0
2024-10-19,2024020083,2024,CBJ,MIN,0.4465872387184026,0.4400438421653753,0.4734167255331815,v2-decomp-backfill,0.0
2024-10-19,2024020084,2024,STL,CAR,0.4181372425408396,0.4280354778553769,0.475892091644759,v2-decomp-backfill,1.0
2024-10-19,2024020085,2024,CHI,BUF,0.4092943362516792,0.3852516938571807,0.472775095257969,v2-decomp-backfill,0.0
2024-10-19,2024020086,2024,UTA,BOS,0.4609683424793557,0.4609854199065001,0.4578171070543586,v2-decomp-backfill,1.0
2024-10-19,2024020087,2024,SEA,CGY,0.5583960809515944,0.565862383922796,0.5247100301288019,v2-decomp-backfill,1.0
2024-10-20,2024020088,2024,WPG,PIT,0.5651994383992642,0.5415452310495403,0.6112217755380678,v2-decomp-backfill,1.0
2024-10-20,2024020089,2024,SJS,COL,0.2128673697454665,0.2101552789050765,0.3705753592204507,v2-decomp-backfill,0.0
2024-10-20,2024020090,2024,ANA,LAK,0.3940014541441449,0.3826062409994433,0.4512092748697165,v2-decomp-backfill,0.0
2024-10-21,2024020091,2024,TOR,TBL,0.6266809551888222,0.637358588454301,0.5547603195624851,v2-decomp-backfill,1.0
