date,gamePk,home,away,p_home,p_home_elo,model,h5,a5,result
20260402,824133,KC,MIN,0.6174991069751622,0.5388570563728271,v2-backfill,0.0,1.0,0.0
20260402,825105,AZ,ATL,0.525908160880972,0.5533140483833939,v2-backfill,1.0,10.0,0.0
20260403,822758,WSH,LAD,0.3451605534721158,0.4631551603908964,v2-backfill,4.0,11.0,0.0
20260403,823240,SF,NYM,0.4883348430958026,0.5071141237942731,v2-backfill,0.0,5.0,0.0
20260403,823406,PIT,BAL,0.504302187803432,0.5270241549083885,v2-backfill,5.0,2.0,1.0
20260403,823568,NYY,MIA,0.5824413584383036,0.6095137424476328,v2-backfill,4.0,2.0,1.0
20260403,824299,DET,STL,0.6211646327090277,0.5527684159533182,v2-backfill,3.0,0.0,1.0
20260403,824377,COL,PHI,0.3673012886232609,0.4215173190139465,v2-backfill,1.0,10.0,0.0
20260403,824621,CWS,TOR,0.4124430829785601,0.483990090620701,v2-backfill,3.0,1.0,1.0
20260403,825026,ATH,HOU,0.4795226000170043,0.496784590625738,v2-backfill,11.0,1.0,1.0
20260404,822757,WSH,LAD,0.3808544591088177,0.4578562098360424,v2-backfill,2.0,9.0,0.0
20260404,822920,TEX,CIN,0.5583824095547831,0.5472754172073943,v2-backfill,0.0,2.0,0.0
20260404,823239,SF,NYM,0.5386553184311651,0.5012762340397683,v2-backfill,0.0,8.0,0.0
20260404,823404,PIT,BAL,0.5773262372191484,0.5324501751413175,v2-backfill,1.0,2.0,0.0
20260404,823569,NYY,MIA,0.654841789390261,0.6137851851362635,v2-backfill,2.0,4.0,0.0
20260404,823730,MIN,TB,0.4524116863593078,0.5149840286757738,v2-backfill,1.0,6.0,0.0
20260404,824054,LAA,SEA,0.3991363815168437,0.4683120147262493,v2-backfill,1.0,0.0,1.0
20260404,824132,KC,MIL,0.4262074276547402,0.491928774266813,v2-backfill,0.0,5.0,0.0
20260404,824378,COL,PHI,0.3005604038928608,0.4167913361409109,v2-backfill,1.0,2.0,0.0
20260404,824622,CWS,TOR,0.5723401281216649,0.4899267625668001,v2-backfill,1.0,0.0,1.0
20260404,824782,BOS,SD,0.5724856788036047,0.5239927659542903,v2-backfill,1.0,2.0,0.0
20260404,825027,ATH,HOU,0.5055415071698663,0.5025780049554075,v2-backfill,0.0,7.0,0.0
20260404,825104,AZ,ATL,0.5982671989610215,0.5464715162816853,v2-backfill,2.0,1.0,1.0
20260405,822756,WSH,LAD,0.4707341190203293,0.4526272347820715,v2-backfill,6.0,1.0,1.0
20260405,822917,TEX,CIN,0.5434737053328061,0.541023886192399,v2-backfill,0.0,1.0,0.0
20260405,823238,SF,NYM,0.5755257783673151,0.4955052019765109,v2-backfill,0.0,1.0,0.0
20260405,823405,PIT,BAL,0.535756713965219,0.5263413814978338,v2-backfill,6.0,1.0,1.0
20260405,823566,NYY,MIA,0.6960359544422744,0.6070635110078318,v2-backfill,4.0,2.0,1.0
20260405,824053,LAA,SEA,0.42866485429268,0.474413141610501,v2-backfill,6.0,5.0,1.0
20260405,824131,KC,MIL,0.513199781135033,0.4864259656564325,v2-backfill,2.0,4.0,0.0
20260405,824296,DET,STL,0.5301868509183829,0.5578543036366351,v2-backfill,2.0,4.0,0.0
20260405,824379,COL,PHI,0.4289557480672166,0.4121333236856512,v2-backfill,4.0,1.0,1.0
20260405,824460,CLE,CHC,0.5090300733730716,0.4760884563379698,v2-backfill,0.0,1.0,0.0
20260405,824620,CWS,TOR,0.474527174115782,0.4957979334897552,v2-backfill,3.0,0.0,1.0
20260405,824781,BOS,SD,0.60825473951314,0.5179707729309805,v2-backfill,4.0,6.0,0.0
20260405,825025,ATH,HOU,0.4819192067269784,0.4967919287125132,v2-backfill,5.0,3.0,1.0
20260406,822755,WSH,STL,0.5104494177058797,0.5042890328428855,v2-backfill,2.0,1.0,1.0
20260406,822832,TOR,LAD,0.4935252034405014,0.4985293182341838,v2-backfill,1.0,6.0,0.0
20260406,823002,TB,CHC,0.5487689716046587,0.485278564628277,v2-backfill,4.0,2.0,1.0
20260406,823237,SF,PHI,0.4749402739704901,0.4876091931589433,v2-backfill,4.0,2.0,1.0
20260406,823401,PIT,SD,0.5763728257726822,0.5228509242344253,v2-backfill,0.0,3.0,0.0
20260406,823728,MIN,DET,0.5246467181236051,0.5004203384896897,v2-backfill,5.0,3.0,1.0
20260406,823886,MIA,CIN,0.5640731509551541,0.4902111699719161,v2-backfill,0.0,1.0,0.0
20260406,824052,LAA,ATL,0.4033223206740851,0.5013053975507359,v2-backfill,6.0,1.0,1.0
20260406,824376,COL,HOU,0.4429931013799885,0.4454825657080165,v2-backfill,8.0,3.0,1.0
20260406,824619,CWS,BAL,0.6500106527533982,0.5120409046146925,v2-backfill,0.0,1.0,0.0
20260407,822754,WSH,STL,0.5133685017231866,0.5099948898552535,v2-backfill,4.0,2.0,1.0
20260407,822831,TOR,LAD,0.5209416852113236,0.4927902828539828,v2-backfill,0.0,3.0,0.0
20260407,822916,TEX,SEA,0.5409390355653767,0.5231592007255191,v2-backfill,3.0,2.0,1.0
20260407,822999,TB,CHC,0.5028087768339894,0.4912011664529261,v2-backfill,0.0,4.0,0.0
20260407,823235,SF,PHI,0.4367616353749652,0.493506138043894,v2-backfill,3.0,0.0,1.0
20260407,823402,PIT,SD,0.5683042261580555,0.5168409369008616,v2-backfill,2.0,0.0,1.0
20260407,823567,NYY,ATH,0.6308048671778446,0.6023609016032033,v2-backfill,1.0,3.0,0.0
20260407,823648,NYM,AZ,0.5754265529497102,0.523503141258225,v2-backfill,2.0,3.0,0.0
20260407,823727,MIN,DET,0.426272577741934,0.5061716485355915,v2-backfill,4.0,0.0,1.0
20260407,823887,MIA,CIN,0.5194474713770708,0.4845710543814923,v2-backfill,2.0,0.0,1.0
20260407,824051,LAA,ATL,0.5165526812837233,0.5070463677671591,v2-backfill,2.0,4.0,0.0
20260407,824375,COL,HOU,0.4293565620119751,0.4517992360575673,v2-backfill,3.0,1.0,1.0
20260407,824618,CWS,BAL,0.5387086274958761,0.5061478344514758,v2-backfill,2.0,1.0,1.0
20260408,822753,WSH,STL,0.5179624436857945,0.5156325171783555,v2-backfill,1.0,3.0,0.0
20260408,822915,TEX,SEA,0.506660119427639,0.5286342510465197,v2-backfill,3.0,0.0,1.0
20260408,823000,TB,CHC,0.5480485563491748,0.4855491212783261,v2-backfill,1.0,6.0,0.0
20260408,823646,NYM,AZ,0.570180416529173,0.5174862880860436,v2-backfill,0.0,5.0,0.0
20260408,823726,MIN,DET,0.48757984745443,0.5118551486800247,v2-backfill,7.0,0.0,1.0
20260408,823885,MIA,CIN,0.5103003919229218,0.4905013923307408,v2-backfill,6.0,4.0,1.0
20260408,824050,LAA,ATL,0.5521790772034811,0.5012092449074449,v2-backfill,2.0,7.0,0.0
20260408,824374,COL,HOU,0.4920582311314413,0.4580592622714443,v2-backfill,7.0,1.0,1.0
20260408,824455,CLE,KC,0.495150051583836,0.5105872182315606,v2-backfill,5.0,2.0,1.0
20260408,824617,CWS,BAL,0.5033631680549359,0.5118316183602815,v2-backfill,3.0,2.0,1.0
20260408,824779,BOS,MIL,0.6183070833619073,0.4751746277865897,v2-backfill,3.0,0.0,1.0
20260409,823645,NYM,AZ,0.5712533648638382,0.5115335949973863,v2-backfill,1.0,0.0,1.0
20260409,823724,MIN,DET,0.4827708959785355,0.5174702316464415,v2-backfill,1.0,0.0,1.0
20260409,823884,MIA,CIN,0.5641789038272048,0.4963661328960089,v2-backfill,4.0,1.0,1.0
20260409,824130,KC,CWS,0.6124223883736214,0.5313209216447333,v2-backfill,0.0,1.0,0.0
20260410,822829,TOR,MIN,0.5370196410237724,0.5181464613122034,v2-backfill,6.0,4.0,1.0
